Event ID,Event,Campus,Event Organizer,Description,Prize Pool,Event Date
E310,Drone Racing Competition,RR Campus,Team Aeolus,"Calling all drone enthusiasts! Participate in our drone racing competition and showcase your piloting skills. Exciting prizes await the winners. Bring your own drones and let the race begin!",1st, 2nd, 3rd Place Prizes,2024-01-07
E311,Remote Sensing and GIS Seminar,RR Campus,Team Aeolus,"A seminar on the applications of remote sensing and Geographic Information Systems (GIS) in the field of aerial robotics. Explore the technology that powers modern aerial systems and its real-world applications.",Seminar Certificates,2024-01-21
E312,Quadcopter Building Challenge,RR Campus,Team Aeolus,"Get ready for the Quadcopter Building Challenge! Teams will compete to build the most efficient and stable quadcopter. Bring your engineering skills to the table and compete for the title.",Winner's Trophy and Certificates,2024-02-11
E313,Aerial Photography Exhibition,RR Campus,Team Aeolus,"An exhibition showcasing the stunning aerial photographs captured by our members using drones. Join us to appreciate the artistry of aerial photography and learn about the technology behind it.",Exhibition Participation Certificates,2024-02-25
E314,RC Glider Flying Day,RR Campus,Team Aeolus,"Experience the thrill of flying RC gliders! Join us for a day of fun and learning as we fly radio-controlled gliders. Beginners are welcome, and experienced pilots can showcase their skills.",Participation Certificates,2024-03-10
E315,AI in Drones Webinar,RR Campus,Team Aeolus,"A webinar exploring the integration of artificial intelligence (AI) in drone technology. Learn about AI-driven applications in aerial robotics and its impact on the future of autonomous systems.",Webinar Certificates,2024-03-24
E316,Street Dance Workshop,RR Campus,Team Encore,"Join us for an energetic Street Dance Workshop where participants will learn various street dance styles including hip-hop and afro. Get ready to groove and express yourself through dance!",Participation Certificates,2023-12-15
E317,Inter-College Dance Battle,RR Campus,Team Encore,"Prepare for the ultimate Inter-College Dance Battle! Teams from various colleges will compete in a showcase of street dance styles. Show off your moves and compete for the title.",Winner's Trophy and Certificates,2024-01-14
E318,Choreography Masterclass,RR Campus,Team Encore,"A masterclass on dance choreography, focusing on the techniques and creativity behind crafting compelling dance routines. Learn from experienced choreographers and enhance your dance skills.",Participation Certificates,2024-02-04
E319,Fusion Dance Night,RR Campus,Team Encore,"Experience a night of Fusion Dance, blending various dance styles into a mesmerizing performance. Join us for a cultural extravaganza featuring the diversity of dance forms.",Cultural Appreciation Certificates,2024-02-18
E320,Street Dance Competition,RR Campus,Team Encore,"Get ready for the Street Dance Competition! Solo and group performances will compete in a thrilling dance-off. Showcase your individuality and street dance prowess to win exciting prizes.",1st, 2nd, 3rd Place Prizes,2024-03-09
E321,Dance Showcase Evening,RR Campus,Team Encore,"An evening dedicated to showcasing the talent of Team Encore. Enjoy mesmerizing performances, innovative choreography, and a celebration of the artistry of street dance.",Appreciation Certificates,2024-03-23
E322,End-of-Year Dance Extravaganza,RR Campus,Team Encore,"Join us for a grand End-of-Year Dance Extravaganza! Celebrate the achievements of Team Encore with a spectacular performance featuring the best dance routines of the year.",Performance Appreciation Certificates,2024-04-06
E323,Indian Dance Workshop,RR Campus,Team Sanskrithi,"Embark on a cultural journey with our Indian Dance Workshop. Learn the nuances of Indian contemporary dance forms. Join us for a day filled with rhythm, movement, and cultural exploration.",Participation Certificates,2023-12-10
E324,Sanskriti Sangeet Night,RR Campus,Team Sanskrithi,"Experience an enchanting night of Sanskriti Sangeet. Immerse yourself in soulful music and captivating dance performances that showcase the beauty of Indian contemporary dance.",Cultural Appreciation Certificates,2024-01-06
E325,Rangoli and Dance Fusion,RR Campus,Team Sanskrithi,"Combine the art of Rangoli with the grace of dance in this unique fusion event. Participants will create vibrant Rangoli designs, followed by dance performances inspired by the colors and patterns.",Creative Expression Certificates,2024-02-02
E326,Contemporary Dance Competition,RR Campus,Team Sanskrithi,"Calling all dance enthusiasts! Participate in our Contemporary Dance Competition and showcase your skills in Indian contemporary dance. Compete for exciting prizes and dance glory.",1st, 2nd, 3rd Place Prizes,2024-02-24
E327,Cultural Dance Showcase,RR Campus,Team Sanskrithi,"Witness the rich diversity of Indian dance forms in our Cultural Dance Showcase. Performances will include classical, folk, and contemporary dances, celebrating the cultural heritage of India.",Appreciation Certificates,2024-03-15
E328,Colors of India Festival,RR Campus,Team Sanskrithi,"Join us for the Colors of India Festival, a vibrant celebration of Indian culture. Experience traditional dance performances, music, food, and festivities that showcase the essence of India.",Cultural Experience Certificates,2024-03-31
E329,Grand Finale Dance Gala,RR Campus,Team Sanskrithi,"Conclude the year with a Grand Finale Dance Gala! Enjoy breathtaking dance performances, innovative choreography, and a celebration of the talent within Team Sanskrithi.",Performance Appreciation Certificates,2024-04-20
E330,TEDxPESU Talk Series: Climate Change Perspectives,RR Campus,TEDxPESU,"Join us for an insightful talk on Climate Change Perspectives. Engage with experts from various fields as they discuss the current state of climate change, its impact, and potential solutions.",Participation Certificates,2023-12-08
E331,Innovation Summit,RR Campus,TEDxPESU,"Explore groundbreaking innovations at our TEDxPESU Innovation Summit. Hear from pioneers in technology, science, and business as they share their experiences and insights on fostering innovation.",Innovation Recognition Certificates,2024-01-15
E332,Leadership Forum,RR Campus,TEDxPESU,"Participate in our Leadership Forum, where accomplished leaders share their journeys, challenges, and strategies for effective leadership. Gain valuable insights to enhance your leadership skills.",Leadership Excellence Certificates,2024-02-10
E333,Education Reimagined Conference,RR Campus,TEDxPESU,"Join the conversation on the future of education at our Education Reimagined Conference. Explore innovative approaches, emerging trends, and transformative ideas in the realm of education.",Educational Visionary Certificates,2024-03-05
E334,Health and Well-being Symposium,RR Campus,TEDxPESU,"Prioritize your well-being with our Health and Well-being Symposium. Experts in healthcare, psychology, and fitness will share valuable insights to help you lead a balanced and healthy life.",Wellness Achievement Certificates,2024-03-29
E335,Entrepreneurship Summit,RR Campus,TEDxPESU,"Unleash your entrepreneurial spirit at the TEDxPESU Entrepreneurship Summit. Learn from successful entrepreneurs, discover startup opportunities, and gain insights into the dynamic world of entrepreneurship.",Entrepreneurial Vision Certificates,2024-04-20
E336,Grand Finale TEDxPESU Event,RR Campus,TEDxPESU,"Conclude the series with our Grand Finale TEDxPESU Event. Experience a captivating lineup of talks, performances, and networking opportunities. Be inspired to make a positive impact in your community.",Inspiration Certificates,2024-05-10
E337,Green Campus Cleanup Drive,RR Campus,The Changemakers' Society,"Join us in making a positive impact on the environment. Participate in our Green Campus Cleanup Drive to contribute towards a cleaner and greener campus.",Participation Certificates,2023-12-15
E338,Environmental Awareness Workshop,RR Campus,The Changemakers' Society,"Learn about pressing environmental issues and sustainable practices at our Environmental Awareness Workshop. Experts will guide you on how to make eco-friendly choices in your daily life.",Awareness Certificates,2024-01-20
E339,Sustainable Living Seminar,RR Campus,The Changemakers' Society,"Discover the principles of sustainable living at our seminar. Explore ways to reduce your ecological footprint and create a positive impact on the planet through sustainable practices.",Sustainability Achievement Certificates,2024-02-18
E340,Tree Plantation Drive,RR Campus,The Changemakers' Society,"Contribute to the greenery of our campus by participating in the Tree Plantation Drive. Plant trees, nurture them, and be a part of our initiative for a more sustainable environment.",Tree Guardian Certificates,2024-03-10
E341,Social Impact Hackathon,RR Campus,The Changemakers' Society,"Engage in a Social Impact Hackathon where participants can ideate and develop innovative solutions to address social challenges. Use technology to create positive change in the community.",Innovation Recognition Certificates,2024-04-05
E342,Sustainable Campus Design Competition,RR Campus,The Changemakers' Society,"Showcase your creativity and design skills in our Sustainable Campus Design Competition. Propose eco-friendly designs and ideas to make our campus more sustainable and environmentally friendly.",Design Excellence Certificates,2024-04-30
E343,Changemakers' Summit,RR Campus,The Changemakers' Society,"Wrap up the series with our Changemakers' Summit. Join thought leaders, activists, and influencers in discussions on creating lasting change for a better, more sustainable future.",Change Leadership Certificates,2024-05-20
E344,Film Screening Night,RR Campus,Through The Lens,"Join us for a captivating Film Screening Night featuring a selection of thought-provoking and entertaining short films. Engage in discussions and share your insights with fellow film enthusiasts.",Participation Certificates,2023-12-08
E345,Short Film Making Workshop,RR Campus,Through The Lens,"Unleash your creativity! Participate in our Short Film Making Workshop and learn the essentials of crafting a compelling narrative, cinematography, and editing for short films.",Skill Development Certificates,2024-01-15
E346,Film Analysis and Critique Session,RR Campus,Through The Lens,"Enhance your film appreciation skills in our Film Analysis and Critique Session. Analyze and discuss various aspects of short films to deepen your understanding of filmmaking techniques.",Appreciation Certificates,2024-02-12
E347,Documentary Film Showcase,RR Campus,Through The Lens,"Experience the power of documentaries at our Documentary Film Showcase. Explore a diverse range of documentaries and engage in conversations about their impact on society and culture.",Knowledge Sharing Certificates,2024-03-05
E348,Experimental Film Festival,RR Campus,Through The Lens,"Celebrate experimental storytelling! Participate in our Experimental Film Festival, where filmmakers can showcase innovative and experimental short films. Explore new perspectives and storytelling techniques.",Innovation Awards,2024-04-02
E349,Masterclass with Filmmakers,RR Campus,Through The Lens,"Get insights from the experts! Attend our Masterclass with Filmmakers, where experienced filmmakers share their journeys, tips, and tricks for creating impactful short films.",Masterclass Certificates,2024-04-25
E350,Collaborative Film Project,RR Campus,Through The Lens,"Be part of a collaborative filmmaking journey! Join our Collaborative Film Project, where participants work together to produce a short film. Experience teamwork and creativity in action.",Collaboration Certificates,2024-05-15
E351,Rhythmic Fusion Dance Showcase,RR Campus,Trance,"Witness the magic of Rhythmic Fusion! Join our dance showcase where talented performers express their unique styles and rhythms in a captivating dance performance.",Appreciation Certificates,2023-12-10
E352,Dance Workshop: Mastering Choreography,RR Campus,Trance,"Enhance your dance skills! Participate in our workshop focused on Mastering Choreography. Learn the techniques and nuances of choreographing captivating dance routines.",Skill Development Certificates,2024-01-20
E353,Beat Battle: Dance Competition,RR Campus,Trance,"Get ready for a rhythmic showdown! Join our Beat Battle Dance Competition, where dancers compete to showcase their creativity, rhythm, and dance skills. Who will be the ultimate beat master?",Trophy and Recognition,2024-02-18
E354,Synchrony Jam: Group Dance Collaboration,RR Campus,Trance,"Experience the power of synchronized dance! Participate in Synchrony Jam, a group dance collaboration event where participants work together to create a mesmerizing synchronized dance performance.",Collaboration Certificates,2024-03-10
E355,Flash Mob Extravaganza,RR Campus,Trance,"Surprise and delight with spontaneous dance! Join our Flash Mob Extravaganza, where participants come together for a surprise dance performance at a designated location on campus. Spread joy through dance!",Participation Certificates,2024-04-05
E356,Theme Dance Night: Bollywood Beats,RR Campus,Trance,"Let's groove to Bollywood beats! Attend our Theme Dance Night featuring Bollywood dance performances. Dress up in theme, dance to popular Bollywood tunes, and celebrate the magic of Indian cinema.",Fun Prizes for Best Dressed,2024-05-03
E357,Dance Battle Royale,RR Campus,Trance,"Compete for dance supremacy! Participate in our Dance Battle Royale, where dancers face off in an intense battle showcasing their skills, creativity, and ability to captivate the audience.",Champion Title and Trophy,2024-05-25
E358,Electric Vehicle Expo,RR Campus,Vega Racing Electric,"Explore the future of transportation! Join our Electric Vehicle Expo, featuring displays of the latest electric vehicles, advancements in EV technology, and opportunities to learn about sustainable transportation.",Networking Opportunities,2023-12-15
E359,Technical Workshop: EV Maintenance,RR Campus,Vega Racing Electric,"Dive into the technical aspects of EVs! Participate in our workshop on Electric Vehicle Maintenance, where experts will guide you through the intricacies of maintaining and optimizing electric vehicles.",Skill Development Certificates,2024-01-25
E360,Racing Simulation Challenge,RR Campus,Vega Racing Electric,"Feel the thrill of electric racing! Compete in our Racing Simulation Challenge, where participants get to experience the speed and precision of electric vehicle racing through advanced simulation setups.",Simulation Enthusiast Certificates,2024-02-20
E361,Battery Technology Symposium,RR Campus,Vega Racing Electric,"Uncover the power behind EVs! Attend our Battery Technology Symposium, where experts discuss the latest advancements in electric vehicle battery technology, sustainability, and future innovations.",Knowledge Enrichment Certificates,2024-03-12
E362,Sustainable Mobility Hackathon,RR Campus,Vega Racing Electric,"Innovate for a greener future! Join our Sustainable Mobility Hackathon, where participants collaborate to develop innovative solutions for sustainable and efficient electric mobility.",Innovation Certificates,2024-04-08
E363,Drag Racing Showdown: EV Edition,RR Campus,Vega Racing Electric,"Witness the speed of electric drag racing! Participate in our Drag Racing Showdown: EV Edition, where participants showcase the acceleration and power of electric vehicles in a thrilling drag race competition.",Drag Racing Enthusiast Certificates,2024-05-05
E364,Off-road Electric Rally,RR Campus,Vega Racing Electric,"Take electric vehicles off the beaten path! Participate in our Off-road Electric Rally, where participants navigate challenging terrains and showcase the capabilities of electric off-road vehicles.",Adventure Enthusiast Certificates,2024-06-02
E365,Writer's Workshop: Crafting Short Stories,RR Campus,Write Angle,"Join our Writer's Workshop focused on crafting short stories. This event provides a platform for writers to enhance their storytelling skills and share their creative narratives.",Participation Certificates,2023-12-10
E366,Poetry Slam Night,RR Campus,Write Angle,"Express yourself through poetry! Participate in our Poetry Slam Night, where poets and spoken word artists share their verses in a vibrant and supportive environment.",Audience Appreciation,2024-01-20
E367,Literary Quiz Challenge,RR Campus,Write Angle,"Test your literary knowledge! Engage in our Literary Quiz Challenge, covering a diverse range of literature, authors, and literary genres.",Quiz Champion Certificates,2024-02-15
E368,Book Review Marathon,RR Campus,Write Angle,"Become a literary critic! Take part in our Book Review Marathon, where participants read and review books, sharing their insights and recommendations with fellow book enthusiasts.",Reviewers Recognition,2024-03-08
E369,Flash Fiction Contest,RR Campus,Write Angle,"Master the art of concise storytelling! Participate in our Flash Fiction Contest, where writers showcase their storytelling skills within a limited word count.",Best Flash Fiction Certificates,2024-04-05
E370,Literary Open Mic Night,RR Campus,Write Angle,"Share your literary creations! Join our Literary Open Mic Night, where writers, poets, and storytellers perform their work in front of a supportive audience.",Open Mic Performer Certificates,2024-05-15
E371,Genre Writing Workshop Series,RR Campus,Write Angle,"Explore different writing genres! Attend our Genre Writing Workshop Series, featuring sessions on various literary genres such as mystery, fantasy, and science fiction.",Genre Explorer Certificates,2024-06-10
